time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,time/fps,train/loss,train/learning_rate,train/n_updates
1000,1.3,1333,0.4,0.9982226666666667,15,85,,,
2000,1.29,2635,0.38,0.9964866666666667,30,85,,,
3000,1.31,3964,0.47,0.9947146666666666,45,86,,,
4000,1.24,5282,0.28,0.9929573333333332,60,86,,,
5000,1.35,6592,0.47,0.9912106666666667,75,86,,,
6000,1.26,7922,0.33,0.9894373333333333,90,87,,,
7000,1.44,9269,0.6,0.9876413333333334,106,87,,,
8000,1.42,10618,0.57,0.9858426666666666,121,87,,,
9000,1.21,11913,0.26,0.984116,135,87,,,
10000,1.38,13243,0.52,0.9823426666666666,151,87,,,
11000,1.26,14543,0.34,0.9806093333333332,166,87,,,
12000,1.32,15897,0.46,0.978804,181,87,,,
13000,1.26,17251,0.33,0.9769986666666666,196,87,,,
14000,1.47,18604,0.63,0.9751946666666667,211,88,,,
15000,1.4,19969,0.64,0.9733746666666667,226,88,,,
16000,1.24,21305,0.25,0.9715933333333333,240,88,,,
17000,1.39,22631,0.6,0.9698253333333333,255,88,,,
18000,1.41,23968,0.52,0.9680426666666666,270,88,,,
19000,1.41,25311,0.51,0.9662519999999999,287,88,,,
20000,1.42,26681,0.63,0.9644253333333332,302,88,,,
21000,1.29,28038,0.39,0.9626159999999999,317,88,,,
22000,1.33,29357,0.44,0.9608573333333332,331,88,,,
23000,1.35,30717,0.5,0.959044,345,88,,,
24000,1.36,32073,0.51,0.957236,361,88,,,
25000,1.24,33413,0.32,0.9554493333333334,376,88,,,
26000,1.43,34765,0.6,0.9536466666666668,391,88,,,
27000,1.33,36091,0.43,0.9518786666666668,407,88,,,
28000,1.47,37403,0.6,0.9501293333333334,424,88,,,
29000,1.38,38743,0.56,0.9483426666666666,441,87,,,
30000,1.49,40103,0.75,0.9465293333333333,460,87,,,
31000,1.3,41432,0.49,0.9447573333333332,477,86,,,
32000,1.4,42771,0.57,0.9429719999999999,491,87,,,
33000,1.34,44093,0.43,0.9412093333333333,507,86,,,
34000,1.34,45418,0.39,0.9394426666666666,523,86,,,
35000,1.21,46747,0.26,0.9376706666666668,539,86,,,
36000,1.23,48090,0.28,0.93588,554,86,,,
37000,1.32,49428,0.38,0.934096,571,86,,,
38000,1.38,50772,0.54,0.932304,584,86,,,
39000,1.35,52088,0.48,0.9305493333333335,599,86,,,
40000,1.34,53463,0.41,0.9287160000000001,615,86,,,
41000,1.36,54769,0.54,0.9269746666666667,631,86,,,
42000,1.31,56079,0.42,0.9252279999999999,646,86,,,
43000,1.29,57411,0.33,0.9234519999999999,662,86,,,
44000,1.38,58768,0.45,0.9216426666666666,678,86,,,
45000,1.35,60094,0.52,0.9198746666666666,693,86,,,
46000,1.31,61430,0.46,0.9180933333333334,708,86,,,
47000,1.34,62764,0.4,0.9163146666666666,723,86,,,
48000,1.41,64105,0.61,0.9145266666666667,737,86,,,
49000,1.37,65447,0.42,0.9127373333333333,752,86,,,
50000,1.35,66773,0.41,0.9109693333333333,767,86,,,
51000,1.29,68088,0.37,0.909216,782,86,,,
52000,1.42,69424,0.54,0.9074346666666666,797,87,,,
53000,1.25,70794,0.26,0.905608,813,87,,,
54000,1.29,72123,0.43,0.9038360000000001,828,87,,,
55000,1.31,73445,0.37,0.9020733333333333,842,87,,,
56000,1.32,74801,0.39,0.9002653333333333,857,87,,,
57000,1.38,76138,0.57,0.8984826666666668,871,87,,,
58000,1.2,77498,0.22,0.8966693333333333,886,87,,,
59000,1.42,78925,0.59,0.8947666666666667,902,87,,,
60000,1.46,80282,0.77,0.8929573333333334,917,87,,,
61000,1.32,81624,0.41,0.891168,932,87,,,
62000,1.23,82908,0.27,0.889456,947,87,,,
63000,1.3,84244,0.36,0.8876746666666666,962,87,,,
64000,1.31,85576,0.39,0.8858986666666666,977,87,,,
65000,1.33,86909,0.43,0.8841213333333333,992,87,,,
66000,1.31,88230,0.41,0.88236,1007,87,,,
67000,1.32,89583,0.47,0.8805559999999999,1022,87,,,
68000,1.35,90905,0.42,0.8787933333333333,1037,87,,,
69000,1.44,92225,0.53,0.8770333333333333,1052,87,,,
70000,1.4,93554,0.49,0.8752613333333334,1067,87,,,
71000,1.31,94911,0.4,0.8734519999999999,1082,87,,,
72000,1.35,96226,0.51,0.8716986666666666,1097,87,,,
73000,1.35,97550,0.42,0.8699333333333334,1112,87,,,
74000,1.28,98875,0.36,0.8681666666666668,1127,87,,,
75000,1.35,100204,0.61,0.8663946666666666,1143,87,,,
76000,1.35,101520,0.5,0.8646400000000001,1158,87,,,
77000,1.26,102833,0.32,0.8628893333333334,1173,87,,,
78000,1.31,104185,0.37,0.8610866666666666,1188,87,,,
79000,1.37,105554,0.45,0.8592613333333334,1203,87,,,
80000,1.31,106897,0.38,0.8574706666666667,1218,87,,,
81000,1.48,108223,0.84,0.8557026666666667,1233,87,,,
82000,1.34,109544,0.44,0.8539413333333332,1248,87,,,
83000,1.46,110893,0.62,0.8521426666666667,1263,87,,,
84000,1.43,112242,0.56,0.850344,1278,87,,,
85000,1.3,113543,0.44,0.8486093333333333,1293,87,,,
86000,1.39,114837,0.53,0.846884,1308,87,,,
87000,1.24,116161,0.31,0.8451186666666666,1323,87,,,
88000,1.23,117459,0.3,0.843388,1338,87,,,
89000,1.2,118788,0.23,0.8416159999999999,1353,87,,,
90000,1.32,120130,0.4,0.8398266666666667,1369,87,,,
91000,1.29,121460,0.37,0.8380533333333333,1384,87,,,
92000,1.29,122773,0.35,0.8363026666666666,1399,87,,,
93000,1.35,124121,0.51,0.8345053333333334,1414,87,,,
94000,1.29,125431,0.34,0.8327586666666666,1429,87,,,
95000,1.38,126748,0.44,0.8310026666666666,1444,87,,,
96000,1.31,128104,0.45,0.8291946666666667,1458,87,,,
97000,1.29,129462,0.32,0.8273839999999999,1473,87,,,
98000,1.43,130833,0.69,0.825556,1488,87,,,
99000,1.38,132174,0.46,0.8237680000000001,1503,87,,,
100000,1.29,133489,0.45,0.8220146666666666,1518,87,,,
101000,1.21,134812,0.26,0.8202506666666667,1533,87,,,
102000,1.33,136129,0.42,0.8184946666666666,1548,87,,,
103000,1.29,137476,0.36,0.8166986666666667,1563,87,,,
104000,1.38,138812,0.49,0.8149173333333333,1578,87,,,
105000,1.22,140100,0.27,0.8131999999999999,1593,87,,,
106000,1.25,141386,0.3,0.8114853333333334,1608,87,,,
107000,1.29,142727,0.37,0.8096973333333333,1623,87,,,
108000,1.28,144053,0.5,0.8079293333333333,1638,87,,,
109000,1.28,145344,0.39,0.806208,1652,87,,,
110000,1.27,146668,0.4,0.8044426666666666,1667,87,,,
111000,1.31,148000,0.46,0.8026666666666666,1682,87,,,
112000,1.45,149346,0.72,0.800872,1697,87,,,
113000,1.34,150698,0.51,0.7990693333333334,1712,88,,,
114000,1.4,152046,0.57,0.797272,1727,88,,,
115000,1.4,153381,0.54,0.7954920000000001,1742,88,,,
116000,1.34,154690,0.54,0.7937466666666666,1757,88,,,
117000,1.35,156028,0.44,0.7919626666666666,1772,88,,,
118000,1.24,157357,0.29,0.7901906666666667,1787,88,,,
119000,1.27,158714,0.31,0.7883813333333334,1801,88,,,
120000,1.26,160020,0.29,0.78664,1816,88,,,
121000,1.33,161364,0.4,0.784848,1831,88,,,
122000,1.34,162698,0.42,0.7830693333333334,1846,88,,,
123000,1.36,164040,0.48,0.78128,1861,88,,,
124000,1.3,165359,0.38,0.7795213333333333,1876,88,,,
125000,1.34,166700,0.45,0.7777333333333334,1891,88,,,
126000,1.41,168059,0.59,0.7759213333333332,1906,88,,,
127000,1.45,169407,0.59,0.774124,1921,88,,,
128000,1.34,170744,0.44,0.7723413333333333,1936,88,,,
129000,1.33,172090,0.41,0.7705466666666667,1951,88,,,
130000,1.39,173434,0.53,0.7687546666666667,1966,88,,,
131000,1.36,174804,0.45,0.766928,1981,88,,,
132000,1.43,176135,0.58,0.7651533333333334,1996,88,,,
133000,1.42,177471,0.53,0.7633719999999999,2011,88,,,
134000,1.4,178820,0.51,0.7615733333333332,2026,88,,,
135000,1.32,180133,0.54,0.7598226666666668,2041,88,,,
136000,1.25,181482,0.29,0.758024,2056,88,,,
137000,1.3,182840,0.38,0.7562133333333334,2071,88,,,
138000,1.23,184173,0.35,0.7544360000000001,2086,88,,,
139000,1.33,185554,0.43,0.7525946666666667,2101,88,,,
140000,1.32,186911,0.39,0.7507853333333334,2115,88,,,
141000,1.3,188223,0.34,0.749036,2130,88,,,
142000,1.31,189564,0.44,0.7472479999999999,2145,88,,,
143000,1.47,190941,0.68,0.745412,2160,88,,,
144000,1.36,192255,0.42,0.74366,2175,88,,,
145000,1.36,193601,0.49,0.7418653333333334,2190,88,,,
146000,1.2,194936,0.27,0.7400853333333333,2205,88,,,
147000,1.26,196283,0.32,0.7382893333333334,2220,88,,,
148000,1.29,197592,0.35,0.7365439999999999,2235,88,,,
149000,1.32,198901,0.39,0.7347986666666666,2251,88,,,
150000,1.33,200240,0.41,0.7330133333333333,2265,88,,,
151000,1.33,201604,0.43,0.7311946666666667,2280,88,,,
152000,1.33,202961,0.52,0.7293853333333333,2295,88,,,
153000,1.29,204296,0.36,0.7276053333333334,2310,88,,,
154000,1.33,205610,0.52,0.7258533333333332,2325,88,,,
155000,1.27,206960,0.38,0.7240533333333334,2340,88,,,
156000,1.32,208290,0.37,0.72228,2354,88,,,
157000,1.3,209629,0.4,0.7204946666666667,2369,88,,,
158000,1.23,210921,0.3,0.718772,2384,88,,,
159000,1.49,212281,0.73,0.7169586666666667,2399,88,,,
160000,1.42,213616,0.56,0.7151786666666666,2414,88,,,
161000,1.2,214909,0.23,0.7134546666666668,2429,88,,,
162000,1.39,216232,0.61,0.7116906666666667,2444,88,,,
163000,1.24,217557,0.28,0.709924,2458,88,,,
164000,1.35,218882,0.48,0.7081573333333333,2473,88,,,
165000,1.37,220211,0.57,0.7063853333333334,2488,88,,,
166000,1.36,221515,0.52,0.7046466666666666,2503,88,,,
167000,1.38,222870,0.45,0.7028400000000001,2518,88,,,
168000,1.41,224205,0.65,0.70106,2533,88,,,
169000,1.34,225519,0.42,0.699308,2547,88,,,
170000,1.4,226837,0.52,0.6975506666666667,2562,88,,,
171000,1.34,228199,0.4,0.6957346666666666,2577,88,,,
172000,1.35,229541,0.46,0.6939453333333334,2592,88,,,
173000,1.44,230851,0.57,0.6921986666666666,2607,88,,,
174000,1.34,232208,0.46,0.6903893333333333,2622,88,,,
175000,1.45,233570,0.74,0.6885733333333333,2637,88,,,
176000,1.38,234901,0.54,0.6867986666666668,2651,88,,,
177000,1.3,236250,0.34,0.685,2666,88,,,
178000,1.38,237584,0.5,0.6832213333333335,2681,88,,,
179000,1.41,238923,0.68,0.6814359999999999,2696,88,,,
