rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/loss,train/learning_rate
0.42,1,0.9998253333333333,67,100,1.31,131,,,
0.37,3,0.9996546666666666,67,200,1.28,259,,,
0.38,5,0.9994866666666666,68,300,1.26,385,,,
0.59,7,0.999296,71,400,1.43,528,,,
0.54,9,0.9991106666666667,72,500,1.39,667,,,
0.36,11,0.998936,72,600,1.31,798,,,
0.69,12,0.9987373333333334,73,700,1.49,947,,,
0.35,14,0.998564,73,800,1.3,1077,,,
0.33,16,0.9983946666666668,73,900,1.27,1204,,,
0.34,18,0.998224,73,1000,1.28,1332,,,
0.22,19,0.9980653333333334,72,1100,1.19,1451,,,
0.74,21,0.997868,73,1200,1.48,1599,,,
0.4,23,0.9976906666666667,73,1300,1.33,1732,,,
0.39,25,0.9975186666666667,73,1400,1.29,1861,,,
0.45,27,0.997336,73,1500,1.37,1998,,,
0.34,28,0.997168,73,1600,1.26,2124,,,
0.63,30,0.9969853333333334,73,1700,1.37,2261,,,
0.54,32,0.9968013333333334,74,1800,1.38,2399,,,
0.51,34,0.9966146666666666,74,1900,1.4,2539,,,
0.38,35,0.99644,74,2000,1.31,2670,,,
0.46,37,0.9962613333333334,74,2100,1.34,2804,,,
0.34,39,0.9960946666666666,74,2200,1.25,2929,,,
0.41,40,0.9959213333333334,75,2300,1.3,3059,,,
0.38,42,0.9957493333333334,75,2400,1.29,3188,,,
0.5,44,0.9955666666666667,75,2500,1.37,3325,,,
0.37,46,0.995396,74,2600,1.28,3453,,,
0.41,47,0.9952240000000001,74,2700,1.29,3582,,,
0.41,49,0.995044,74,2800,1.35,3717,,,
0.46,51,0.994864,74,2900,1.35,3852,,,
0.63,53,0.994672,75,3000,1.44,3996,,,
0.3,54,0.9945053333333334,74,3100,1.25,4121,,,
0.38,56,0.9943333333333333,74,3200,1.29,4250,,,
0.62,58,0.9941453333333334,75,3300,1.41,4391,,,
0.36,60,0.9939706666666666,75,3400,1.31,4522,,,
0.38,62,0.9938,74,3500,1.28,4650,,,
0.39,63,0.9936266666666667,74,3600,1.3,4780,,,
0.52,65,0.9934386666666666,74,3700,1.41,4921,,,
0.65,67,0.9932466666666666,74,3800,1.44,5065,,,
0.32,69,0.9930786666666667,74,3900,1.26,5191,,,
0.33,70,0.9929079999999999,75,4000,1.28,5319,,,
0.4,72,0.9927306666666667,74,4100,1.33,5452,,,
0.4,74,0.9925573333333333,74,4200,1.3,5582,,,
0.58,76,0.9923679999999999,74,4300,1.42,5724,,,
0.45,78,0.9921933333333333,74,4400,1.31,5855,,,
0.29,79,0.9920293333333334,74,4500,1.23,5978,,,
0.46,81,0.9918493333333334,74,4600,1.35,6113,,,
0.31,83,0.9916799999999999,74,4700,1.27,6240,,,
0.61,85,0.9914906666666667,74,4800,1.42,6382,,,
0.29,87,0.99132,74,4900,1.28,6510,,,
0.62,88,0.9911346666666667,74,5000,1.39,6649,,,
0.46,90,0.9909546666666667,74,5100,1.35,6784,,,
0.53,92,0.9907693333333334,74,5200,1.39,6923,,,
0.33,94,0.9905986666666666,74,5300,1.28,7051,,,
